category,name,lat,lon
Hikes / Places to Hike,Þórsmörk,63.7026554,-19.4271489
Hikes / Places to Hike,The Stone Arch,64.8548461,-13.965683
Hikes / Places to Hike,Valagil Ravine,65.9671563,-23.0855799
Hikes / Places to Hike,Nauthúsagil Ravine,63.6677402,-19.8534107
Hikes / Places to Hike,Bolafjall,66.1707769,-23.2834625
Hikes / Places to Hike,Hornstrandir Nature Reserve,66.3818067,-22.690337
Hikes / Places to Hike,Strandir,65.859444,-21.293056
Hikes / Places to Hike,Snæfellsjökull,64.8057023,-23.7730966
Hikes / Places to Hike,Rauðfeldsgjá Gorge,64.7992305,-23.6468194
Hikes / Places to Hike,Rauðhólar,64.0955556,-21.7516667
Hikes / Places to Hike,Askja,65.0121558,-16.7486572
Hikes / Places to Hike,Seljalandsdalur,66.07,-23.2413889
Hikes / Places to Hike,Laugavegur trail,,
Hikes / Places to Hike,Fimmvörðuháls trail,,
Hikes / Places to Hike,Seltjarnarnes,64.1576706,-22.0178032
Hikes / Places to Hike,Úlfarsfell,64.1468437,-21.7105051
Hikes / Places to Hike,Videy,64.164301,-21.8529023
Hot springs,Blue Lagoon,63.8801127,-22.4493492
Hot springs,Drangsnes,65.6910487,-21.4427376
Hot springs,Gudrunarlaug Natural Pool,65.2460168,-21.8040418
Hot springs,Hotel Heydalur,65.8439566,-22.6800456
Hot springs,Laugarvatn Fontana,64.2147063,-20.730172
Hot springs,Myvatn Nature Baths,65.6309287,-16.8479559
Hot springs,Nauthólsvík Geothermal Beach,64.1212623,-21.9301271
Hot springs,Reykjafjörður  Hot Pool,66.2546944444444,-22.0862777777778
Hot springs,Seljavallalaug,63.5659877,-19.6086192
Hot springs,Secret Lagoon,64.1378883,-20.3098637
Hot springs,Reykhólar seaweed baths,65.4500958,-22.2038841
Hot springs,Krossneslaug,66.0562592,-21.5085268
Hot springs,Valley of Reykjadalur,64.0320968,-21.2155828
Hot springs,Birkimelur Swimming Pool,65.519615,-23.4053381
Hot springs,Hotel Reykjanes,65.9273985,-22.4278163
Hot springs,Geothermal pool in Hofsós,65.8957829,-19.410865
Hot springs,Landmannalaugar,63.983,-19.067
Hot springs,Kvika footbath,64.1623833,-22.0082667
Hot springs,Point 19,64.1649896,-22.0220005
Points of Interest,Arnarstapi,64.7691204,-23.6258982
Points of Interest,Borgarfjörður Eystri,65.5265799,-13.8182044
Points of Interest,Borgarvirki,65.4750161111111,-20.5951830555556
Points of Interest,Bridge America - Europe,63.8683301,-22.6755023
Points of Interest,Brimketill,63.8179836111111,-22.5989097222223
Points of Interest,Brúarhlöð,64.3013756,-20.1552772
Points of Interest,Búðir church,64.8231996,-23.3846139
Points of Interest,Dalatangi,65.2701748,-13.5756683
